FUNIT: Hz
UNIT: dB
0.0 [-0.2, -1.0] [0.0, 0.0] [0.2, +1.0]
1.725852e+08 [-0.44, -50.06] [-0.24, -49.06] [-0.04, -48.06]
1.791760e+08 [-0.46, -65.80] [-0.26, -64.80] [-0.06, -63.80]
1.860186e+08 [-0.44, -81.95] [-0.24, -80.95] [-0.04, -79.95]
1.931224e+08 [-0.46, -98.76] [-0.26, -97.76] [-0.06, -96.76]
2.004975e+08 [-0.47, -116.27] [-0.27, -115.27] [-0.07, -114.27]
2.081543e+08 [-0.48, -134.38] [-0.28, -133.38] [-0.08, -132.38]
2.161035e+08 [-0.48, -153.10] [-0.28, -152.10] [-0.08, -151.10]
2.243562e+08 [-0.49, -172.74] [-0.29, -171.74] [-0.09, -170.74]
2.329241e+08 [-0.47, 167.13] [-0.27, 168.13] [-0.07, 169.13]
2.418192e+08 [-0.51, 145.99] [-0.31, 146.99] [-0.11, 147.99]
2.510540e+08 [-0.52, 124.14] [-0.32, 125.14] [-0.12, 126.14]
2.606415e+08 [-0.49, 101.41] [-0.29, 102.41] [-0.09, 103.41]
2.705951e+08 [-0.51, 77.92] [-0.31, 78.92] [-0.11, 79.92]
2.809288e+08 [-0.52, 53.48] [-0.32, 54.48] [-0.12, 55.48]
2.916571e+08 [-0.55, 28.11] [-0.35, 29.11] [-0.15, 30.11]
3.027952e+08 [-0.53, 1.71] [-0.33, 2.71] [-0.13, 3.71]
3.143586e+08 [-0.53, -25.54] [-0.33, -24.54] [-0.13, -23.54]
3.263636e+08 [-0.55, -54.04] [-0.35, -53.04] [-0.15, -52.04]
3.388271e+08 [-0.55, -83.52] [-0.35, -82.52] [-0.15, -81.52]
3.517665e+08 [-0.58, -114.13] [-0.38, -113.13] [-0.18, -112.13]
3.652000e+08 [-0.58, -145.75] [-0.38, -144.75] [-0.18, -143.75]
3.791466e+08 [-0.58, -178.65] [-0.38, -177.65] [-0.18, -176.65]
3.936258e+08 [-0.58, 147.04] [-0.38, 148.04] [-0.18, 149.04]
4.086579e+08 [-0.60, 111.42] [-0.40, 112.42] [-0.20, 113.42]
4.242641e+08 [-0.60, 74.57] [-0.40, 75.57] [-0.20, 76.57]
4.404662e+08 [-0.61, 36.32] [-0.41, 37.32] [-0.21, 38.32]
4.572871e+08 [-0.63, -3.48] [-0.43, -2.48] [-0.23, -1.48]
4.747504e+08 [-0.62, -44.79] [-0.42, -43.79] [-0.22, -42.79]
4.928806e+08 [-0.63, -87.58] [-0.43, -86.58] [-0.23, -85.58]
5.117031e+08 [-0.65, -132.11] [-0.45, -131.11] [-0.25, -130.11]
